,bad_words_score,Lengths,Sentiment,score_array,polarity,subjectivity
215,0,17,-18.46153846153846,-18.46153846153846,-0.23076923076923078,0.46153846153846156
216,0,15,-33.0,-33.0,-0.4,0.7
217,0,19,0.0,0.0,0.0,0.0
218,0,15,-22.5,-22.5,-0.25,0.25
219,0,11,0.0,0.0,0.0,0.0
220,0,15,33.92857142857142,33.92857142857142,0.2857142857142857,0.5357142857142857
221,0,7,89.0,89.0,0.8,0.9
222,0,11,5.0,5.0,0.0,0.5
223,0,20,33.92857142857142,33.92857142857142,0.2857142857142857,0.5357142857142857
224,0,20,0.0,0.0,0.0,0.0
225,0,29,32.46428571428571,32.46428571428571,0.2928571428571428,0.31785714285714284
226,0,17,56.0,56.0,0.5,0.6
227,0,14,22.0,22.0,0.2,0.2
228,0,7,0.0,0.0,0.0,0.0
229,0,17,55.0,55.0,0.5,0.5
230,200,10,-16.0,184.0,-0.2,0.4
231,0,13,3.0,3.0,0.0,0.3
232,0,17,16.96428571428571,16.96428571428571,0.14285714285714285,0.26785714285714285
233,0,13,3.0,3.0,0.0,0.3
234,200,20,10.0,210.0,0.0,1.0
235,200,25,-12.33333333333333,187.66666666666666,-0.16666666666666666,0.43333333333333335
236,0,19,39.625,39.625,0.35000000000000003,0.46249999999999997
237,0,17,-2.3571428571428585,-2.3571428571428585,-0.07142857142857144,0.4785714285714286
238,0,13,34.5,34.5,0.3,0.45
239,0,31,0.0,0.0,0.0,0.0
240,0,20,21.5,21.5,0.15,0.6499999999999999
241,0,18,-4.0,-4.0,-0.05,0.1
242,0,13,0.0,0.0,0.0,0.0
243,0,20,-10.0,-10.0,-0.1,0.0
244,0,19,0.0,0.0,0.0,0.0
245,0,16,-9.071428571428573,-9.071428571428573,-0.16785714285714287,0.7714285714285715
246,800,22,0.0,800.0,0.0,0.0
247,0,20,11.625,11.625,0.0875,0.2875
248,0,18,33.92857142857142,33.92857142857142,0.2857142857142857,0.5357142857142857
249,0,20,21.5,21.5,0.15,0.6499999999999999
250,0,19,60.0,60.0,0.5,1.0
251,200,31,20.482142857142858,220.48214285714286,0.15892857142857142,0.45892857142857146
252,0,32,35.0,35.0,0.25,1.0
253,0,15,0.0,0.0,0.0,0.0
254,0,19,21.5,21.5,0.15,0.6499999999999999
255,0,18,38.875,38.875,0.35,0.38749999999999996
256,800,22,0.0,800.0,0.0,0.0
257,0,1,0.0,0.0,0.0,0.0
258,0,20,0.0,0.0,0.0,0.0
259,0,18,0.0,0.0,0.0,0.0
260,0,19,0.0,0.0,0.0,0.0
261,0,10,1.0,1.0,0.0,0.1
262,0,14,41.25,41.25,0.3625,0.5
